id,quote,value,time
0,GBPUSD,1.3346,05:08:30
0,GBPEUR,1.2091,05:08:32
0,GBPCAD,1.6928,05:08:35
0,GBPAUD,1.8135,05:08:38
0,GBPCHF,1.2261,05:08:41
0,BTCGBP,"31,009.74",05:08:44
0,EURUSD,1.1037,05:08:46
0,EURJPY,127.4291,05:08:49
0,EURCHF,1.0139,05:08:52
0,EURAUD,1.5000,05:08:55
0,BTCEUR,"37,483.80",05:08:58
0,USDCAD,1.2686,05:09:01
0,USDCHF,0.9187,05:09:04
0,USDAUD,1.3590,05:09:06
0,USDJPY,115.4435,05:09:09
0,BTCUSD,"41,379.70",05:09:12
0,INXINDEXSP,"4,363.49",05:09:15
0,DJIINDEXDJX,"33,794.66",05:09:18
0,GBPUSD,1.3347,05:09:21
0,GBPEUR,1.2090,05:09:24
0,GBPCAD,1.6930,05:09:27
0,GBPAUD,1.8139,05:09:30
0,GBPCHF,1.2258,05:09:32
0,BTCGBP,"31,005.19",05:09:36
0,EURUSD,1.1038,05:09:38
0,EURJPY,127.4253,05:09:41
0,EURCHF,1.0139,05:09:44
0,EURAUD,1.5001,05:09:47
0,BTCEUR,"37,483.80",05:09:50
0,USDCAD,1.2685,05:09:53
0,USDCHF,0.9185,05:09:56
0,USDAUD,1.3590,05:09:59
0,USDJPY,115.4435,05:10:01
0,BTCUSD,"41,379.70",05:10:04
0,INXINDEXSP,"4,363.49",05:10:07
0,DJIINDEXDJX,"33,794.66",05:10:10
0,GBPUSD,1.3345,05:10:14
0,GBPEUR,1.2091,05:10:16
0,GBPCAD,1.6929,05:10:19
0,GBPAUD,1.8136,05:10:22
0,GBPCHF,1.2259,05:10:25
0,BTCGBP,"31,040.26",05:10:28
0,EURUSD,1.1038,05:10:33
0,EURJPY,127.4414,05:10:35
0,EURCHF,1.0139,05:10:38
0,EURAUD,1.4999,05:10:41
0,BTCEUR,"37,526.20",05:10:44
0,USDCAD,1.2686,05:10:47
0,USDCHF,0.9185,05:10:50
0,USDAUD,1.3589,05:10:52
0,USDJPY,115.4570,05:10:55
0,BTCUSD,"41,426.50",05:10:58
0,INXINDEXSP,"4,363.49",05:11:01
0,DJIINDEXDJX,"33,794.66",05:11:04
0,GBPUSD,1.3345,05:11:07
0,GBPEUR,1.2092,05:11:10
0,GBPCAD,1.6930,05:11:13
0,GBPAUD,1.8133,05:11:16
0,GBPCHF,1.2259,05:11:19
0,BTCGBP,"31,040.26",05:11:22
0,EURUSD,1.1037,05:11:25
0,EURJPY,127.4345,05:11:27
0,EURCHF,1.0138,05:11:30
0,EURAUD,1.4998,05:11:34
0,BTCEUR,"37,535.31",05:11:37
0,USDCAD,1.2686,05:11:41
0,USDCHF,0.9185,05:11:45
0,USDAUD,1.3589,05:11:47
0,USDJPY,115.4570,05:11:51
0,BTCUSD,"41,426.50",05:11:54
0,INXINDEXSP,"4,363.49",05:11:56
0,DJIINDEXDJX,"33,794.66",05:12:00
0,GBPUSD,1.3345,05:12:06
0,GBPEUR,1.2091,05:12:10
0,GBPCAD,1.6927,05:12:14
0,GBPAUD,1.8130,05:12:17
0,GBPCHF,1.2258,05:12:20
0,BTCGBP,"31,040.26",05:12:23
0,EURUSD,1.1037,05:12:26
0,EURJPY,127.4351,05:12:29
0,EURCHF,1.0138,05:12:32
0,EURAUD,1.4998,05:12:35
0,BTCEUR,"37,535.31",05:12:38
0,USDCAD,1.2686,05:12:41
0,USDCHF,0.9186,05:12:43
0,USDAUD,1.3590,05:12:46
0,USDJPY,115.4520,05:12:49
0,BTCUSD,"41,426.50",05:12:52
0,INXINDEXSP,"4,363.49",05:12:55
0,DJIINDEXDJX,"33,794.66",05:12:58
0,GBPUSD,1.3345,05:13:01
0,GBPEUR,1.2092,05:13:04
0,GBPCAD,1.6929,05:13:06
0,GBPAUD,1.8136,05:13:09
0,GBPCHF,1.2258,05:13:12
0,BTCGBP,"31,040.26",05:13:15
0,EURUSD,1.1037,05:13:18
0,EURJPY,127.4125,05:13:21
0,EURCHF,1.0137,05:13:24
0,EURAUD,1.4998,05:13:26
0,BTCEUR,"37,537.38",05:13:29
0,USDCAD,1.2686,05:13:32
0,USDCHF,0.9186,05:13:35
0,USDAUD,1.3590,05:13:37
0,USDJPY,115.4520,05:13:40
0,BTCUSD,"41,426.50",05:13:43
0,INXINDEXSP,"4,363.49",05:13:46
0,DJIINDEXDJX,"33,794.66",05:13:49
0,GBPUSD,1.3345,05:13:52
0,GBPEUR,1.2092,05:13:55
0,GBPCAD,1.6928,05:13:57
0,GBPAUD,1.8133,05:14:00
0,GBPCHF,1.2258,05:14:03
0,BTCGBP,"31,041.91",05:14:06
0,EURUSD,1.1037,05:14:09
0,EURJPY,127.4284,05:14:11
0,EURCHF,1.0139,05:14:14
0,EURAUD,1.5000,05:14:17
0,BTCEUR,"37,537.38",05:14:20
0,USDCAD,1.2686,05:14:23
0,USDCHF,0.9186,05:14:26
0,USDAUD,1.3590,05:14:28
0,USDJPY,115.4520,05:14:32
0,BTCUSD,"41,426.50",05:14:35
0,INXINDEXSP,"4,363.49",05:14:38
0,DJIINDEXDJX,"33,794.66",05:14:41
0,GBPUSD,1.3346,05:14:44
0,GBPEUR,1.2093,05:14:47
0,GBPCAD,1.6930,05:14:49
0,GBPAUD,1.8133,05:14:52
0,GBPCHF,1.2259,05:14:55
0,BTCGBP,"31,041.91",05:14:58
0,EURUSD,1.1037,05:15:01
0,EURJPY,127.4483,05:15:03
0,EURCHF,1.0139,05:15:06
0,EURAUD,1.4996,05:15:09
0,BTCEUR,"37,529.51",05:15:12
0,USDCAD,1.2684,05:15:16
0,USDCHF,0.9186,05:15:19
0,USDAUD,1.3586,05:15:21
0,USDJPY,115.4700,05:15:24
0,BTCUSD,"41,426.50",05:15:27
0,INXINDEXSP,"4,363.49",05:15:29
0,DJIINDEXDJX,"33,794.66",05:15:33
0,GBPUSD,1.3346,05:15:36
0,GBPEUR,1.2091,05:15:38
0,GBPCAD,1.6928,05:15:41
0,GBPAUD,1.8131,05:15:44
0,GBPCHF,1.2259,05:15:47
0,BTCGBP,"31,019.21",05:15:50
0,EURUSD,1.1039,05:15:52
0,EURJPY,127.4644,05:15:55
0,EURCHF,1.0140,05:15:58
0,EURAUD,1.4998,05:16:01
0,BTCEUR,"37,502.06",05:16:04
0,USDCAD,1.2684,05:16:07
0,USDCHF,0.9186,05:16:10
0,USDAUD,1.3586,05:16:12
0,USDJPY,115.4700,05:16:15
0,BTCUSD,"41,396.20",05:16:18
0,INXINDEXSP,"4,363.49",05:16:21
0,DJIINDEXDJX,"33,794.66",05:16:24
0,GBPUSD,1.3346,05:16:27
0,GBPEUR,1.2092,05:16:29
0,GBPCAD,1.6929,05:16:32
0,GBPAUD,1.8131,05:16:35
0,GBPCHF,1.2260,05:16:38
0,BTCGBP,"31,014.24",05:16:41
0,EURUSD,1.1039,05:16:43
0,EURJPY,127.4512,05:16:46
0,EURCHF,1.0139,05:16:49
0,EURAUD,1.4995,05:16:52
0,BTCEUR,"37,502.06",05:16:55
0,USDCAD,1.2682,05:16:58
0,USDCHF,0.9185,05:17:01
0,USDAUD,1.3584,05:17:03
0,USDJPY,115.4580,05:17:06
0,BTCUSD,"41,396.20",05:17:09
0,INXINDEXSP,"4,363.49",05:17:12
0,DJIINDEXDJX,"33,794.66",05:17:15
0,GBPUSD,1.3347,05:17:18
0,GBPEUR,1.2093,05:17:20
0,GBPCAD,1.6929,05:17:23
0,GBPAUD,1.8131,05:17:26
0,GBPCHF,1.2259,05:17:29
0,BTCGBP,"31,014.24",05:17:32
0,EURUSD,1.1039,05:17:35
0,EURJPY,127.4495,05:17:38
0,EURCHF,1.0139,05:17:41
0,EURAUD,1.4995,05:17:44
0,BTCEUR,"37,505.37",05:17:47
0,USDCAD,1.2682,05:17:50
0,USDCHF,0.9185,05:17:53
0,USDAUD,1.3584,05:17:55
0,USDJPY,115.4580,05:17:58
0,BTCUSD,"41,396.20",05:18:01
0,INXINDEXSP,"4,363.49",05:18:04
0,DJIINDEXDJX,"33,794.66",05:18:07
0,GBPUSD,1.3347,05:18:09
0,GBPEUR,1.2092,05:18:12
0,GBPCAD,1.6929,05:18:15
0,GBPAUD,1.8135,05:18:18
0,GBPCHF,1.2259,05:18:21
0,BTCGBP,"31,016.10",05:18:24
0,EURUSD,1.1039,05:18:26
0,EURJPY,127.4384,05:18:29
0,EURCHF,1.0138,05:18:32
0,EURAUD,1.4995,05:18:35
0,BTCEUR,"37,498.75",05:18:38
0,USDCAD,1.2683,05:18:41
0,USDCHF,0.9185,05:18:43
0,USDAUD,1.3584,05:18:46
0,USDJPY,115.4480,05:18:49
0,BTCUSD,"41,396.20",05:18:52
0,INXINDEXSP,"4,363.49",05:18:55
0,DJIINDEXDJX,"33,794.66",05:18:58
0,GBPUSD,1.3347,05:19:01
0,GBPEUR,1.2091,05:19:04
0,GBPCAD,1.6929,05:19:07
0,GBPAUD,1.8132,05:19:10
0,GBPCHF,1.2255,05:19:13
0,BTCGBP,"31,016.10",05:19:16
0,EURUSD,1.1039,05:19:19
0,EURJPY,127.4355,05:19:21
0,EURCHF,1.0139,05:19:24
0,EURAUD,1.4996,05:19:27
0,BTCEUR,"37,498.75",05:19:30
0,USDCAD,1.2683,05:19:33
0,USDCHF,0.9185,05:19:36
0,USDAUD,1.3585,05:19:38
0,USDJPY,115.4480,05:19:41
0,BTCUSD,"41,396.20",05:19:44
0,INXINDEXSP,"4,363.49",05:19:47
0,DJIINDEXDJX,"33,794.66",05:19:50
0,GBPUSD,1.3347,05:19:53
0,GBPEUR,1.2092,05:19:56
0,GBPCAD,1.6929,05:19:59
0,GBPAUD,1.8131,05:20:02
0,GBPCHF,1.2255,05:20:05
0,BTCGBP,"31,016.10",05:20:08
0,EURUSD,1.1039,05:20:11
0,EURJPY,127.4396,05:20:14
0,EURCHF,1.0135,05:20:17
0,EURAUD,1.4996,05:20:20
0,BTCEUR,"37,498.75",05:20:23
0,USDCAD,1.2684,05:20:26
0,USDCHF,0.9181,05:20:29
0,USDAUD,1.3585,05:20:31
0,USDJPY,115.4450,05:20:36
0,BTCUSD,"41,396.20",05:20:40
0,INXINDEXSP,"4,363.49",05:20:42
0,DJIINDEXDJX,"33,794.66",05:20:46
0,GBPUSD,1.3346,05:20:49
0,GBPEUR,1.2091,05:20:53
0,GBPCAD,1.6928,05:20:57
0,GBPAUD,1.8133,05:21:00
0,GBPCHF,1.2254,05:21:03
0,BTCGBP,"31,007.26",05:21:06
0,EURUSD,1.1039,05:21:09
0,EURJPY,127.4300,05:21:11
0,EURCHF,1.0137,05:21:15
0,EURAUD,1.4996,05:21:17
0,BTCEUR,"37,504.96",05:21:20
0,USDCAD,1.2684,05:21:23
0,USDCHF,0.9181,05:21:27
0,USDAUD,1.3587,05:21:31
0,USDJPY,115.4450,05:21:33
0,BTCUSD,"41,384.40",05:21:36
0,INXINDEXSP,"4,363.49",05:21:39
0,DJIINDEXDJX,"33,794.66",05:21:42
0,GBPUSD,1.3346,05:21:45
0,GBPEUR,1.2091,05:21:48
0,GBPCAD,1.6928,05:21:51
0,GBPAUD,1.8133,05:21:54
0,GBPCHF,1.2255,05:21:56
0,BTCGBP,"31,007.26",05:21:59
0,EURUSD,1.1037,05:22:02
0,EURJPY,127.4201,05:22:05
0,EURCHF,1.0134,05:22:08
0,EURAUD,1.4996,05:22:10
0,BTCEUR,"37,504.96",05:22:13
0,USDCAD,1.2684,05:22:16
0,USDCHF,0.9181,05:22:19
0,USDAUD,1.3590,05:22:22
0,USDJPY,115.4450,05:22:25
0,BTCUSD,"41,384.40",05:22:27
0,INXINDEXSP,"4,363.49",05:22:30
0,DJIINDEXDJX,"33,794.66",05:22:34
0,GBPUSD,1.3346,05:22:37
0,GBPEUR,1.2093,05:22:39
0,GBPCAD,1.6929,05:22:43
