id,quote,tweet
1,GBP/USD,"GBP/USD fails to break above February range, back under 1.3600 as geopolitical angst remains high By @Frank_Macro… https://t.co/abQAKXqyma"
1,USD/CHF,USD/CHF Price Analysis: Surrender the 0.9220 as USD bears eye 0.9200 By @christianborjon https://t.co/ySxY0k9QVx… https://t.co/EILNZbg4QH
1,EUR/USD,EUR/USD drops further toward 1.1320 By @MSalordFX https://t.co/oke9Z2H6ZI #EURUSD #Currencies #Majors
1,USD/JPY,USD/JPY retreats from daily highs but clings to the 115.00 region By @christianborjon https://t.co/ob1EYlty85… https://t.co/j4cb7iJGDo
1,GBP/USD,GBP/USD to test 1.37 on a firm break past the mid-1.36s – Scotiabank https://t.co/r7sYpjmnsV #GBPUSD #Banks
1,USD/CAD,"USD/CAD holds steady, flat-lined around 1.2700 mark post-Canadian Retail Sales By @HareshMenghani… https://t.co/QqJ2axjDxx"
1,GBP/USD,GBP/USD Price Analysis: Bulls await sustained break above descending trend-line By @HareshMenghani… https://t.co/xDrFS0HpG7
1,EUR/USD,EUR/USD Price Analysis: Immediately to the upside comes 1.1395 By @pabspiovano https://t.co/shq7RQgpFl #EURUSD… https://t.co/YQcU0sUBZn
1,EUR/JPY,EUR/JPY Price Analysis: Looks consolidative above the 200-day SMA By @pabspiovano https://t.co/bb1ix4uk1p #EURJPY… https://t.co/lDkYNYfr6G
1,EUR/USD,EUR/USD regains upside traction near 1.1380 By @pabspiovano https://t.co/GnqjxU3s9c #EURUSD #Currencies #Majors
1,GBP/USD,GBP/USD to enjoy considerable gains on abreak above key 1.3640 resistance https://t.co/PgHJUbqWGi #GBPUSD
1,GBP/USD,GBP/USD to extend its advance once above 1.3710/50 – SocGen https://t.co/3XMtvqS5RR #GBPUSD #Banks
1,USD/CAD,"USD/CAD slides to 1.2675-70 region, back closer to weekly low amid softer USD By @HareshMenghani… https://t.co/FlYFMxNtN2"
1,GBP/USD,GBP/USD: Break above 1.3700/15 to clear the path towards 1.42 – BofA https://t.co/W8goeV3zIn #GBPUSD #Banks
1,GBP/AUD,"GBP/AUD to stay above 1.93 into mid-year, drifting lower to 1.88/89 by year-end – Westpac https://t.co/O9v996rqkr #GBPAUD #Banks"
1,USD/JPY,"USD/JPY eases from daily high, trades with modest gains just above 115.00 mark By @HareshMenghani… https://t.co/p9BfvtFvZX"
1,GBP/USD,"GBP/USD holds steady above 1.3600 mark, moves little despite upbeat UK Retail Sales By @HareshMenghani… https://t.co/YtpWzJONsL"
1,USD/JPY,USD/JPY risks further decline below 114.75 – UOB By @pabspiovano https://t.co/oJrr4Gd0y2 #USDJPY #Currencies #Majors #Banks
1,GBP/USD,GBP/USD: Scope for further gains near term – UOB By @pabspiovano https://t.co/WGIOOdtrPj #GBPUSD #Currencies #Majors #Banks
1,EUR/USD,EUR/USD: Downward bias loses momentum – UOB By @pabspiovano https://t.co/QIb3Ocglii #EURUSD #Currencies #Majors #Banks
1,GBP/USD,GBP/USD Price Analysis: Eyes a break above 1.3643 amid bullish technical setup By @FXstreetNews… https://t.co/IxbfEqci8F
1,EUR/USD,EUR/USD looks to 1.1400 on diplomatic talks over Ukraine By @FXstreetNews https://t.co/zPLzQ0vpmq #EURUSD #ECB #DollarIndex #RiskAversion
1,USD/CHF,USD/CHF Price Analysis: The swissy is on the backfoot as risk bounces back By @ross_burland https://t.co/q4WjwrRhgR… https://t.co/QILBi27t3w
1,USD/CAD,USD/CAD eyes WTI that seesaws between Iran nuclear deal and the Russia-Ukraine tensions By @FXstreetNews… https://t.co/kUSIgQxIiw
1,EUR/USD,EUR/USD Price Analysis: Bears looking for a downside extension for the week ahead By @ross_burland… https://t.co/ajkqyhgP87
